 RN - reference number (a column in rmc6f file indicating an atom type
 in the unit cell)
 XYZ - fractional coordinates of the atom reduced to unit cell
 Nx,Ny,Nz - unit cell indices in the box
 RN    X    Y     Z    Nx    Ny    Nz
  4    0.07507    0.07511    0.07275  0  0  0
  8    0.02522    0.02559    0.07554  0  0  0
 12    0.02488    0.07458    0.02630  0  0  0
 16    0.07622    0.02498    0.02445  0  0  0
  4    0.07534    0.07481    0.07607  0  0  1
  8    0.02506    0.02284    0.07518  0  0  1
 12    0.02486    0.07444    0.02369  0  0  1
 16    0.07438    0.02494    0.02280  0  0  1
  4    0.07493    0.07455    0.07484  0  0  2
  8    0.02621    0.02353    0.07713  0  0  2
 12    0.02535    0.07444    0.02565  0  0  2
 16    0.07466    0.02540    0.02559  0  0  2
  4    0.07476    0.07380    0.07697  0  0  3
  8    0.02581    0.02468    0.07486  0  0  3
 12    0.02448    0.07457    0.02565  0  0  3
 16    0.07524    0.02493    0.02557  0  0  3
  4    0.07552    0.07684    0.07569  0  0  4
  8    0.02520    0.02499    0.07413  0  0  4
 12    0.02575    0.07514    0.02562  0  0  4
 16    0.07498    0.02558    0.02530  0  0  4
  4    0.07476    0.07592    0.07552  0  0  5
  8    0.02555    0.02467    0.07540  0  0  5
 12    0.02529    0.07462    0.02571  0  0  5
 16    0.07531    0.02548    0.02441  0  0  5
  4    0.07439    0.07599    0.07552  0  0  6
  8    0.02590    0.02562    0.07483  0  0  6
 12    0.02543    0.07438    0.02591  0  0  6
 16    0.07524    0.02636    0.02499  0  0  6
  4    0.07500    0.07582    0.07493  0  0  7
  8    0.02466    0.02356    0.07513  0  0  7
 12    0.02558    0.07479    0.02568  0  0  7
 16    0.07602    0.02500    0.02574  0  0  7
  4    0.07533    0.07513    0.07438  0  0  8
  8    0.02520    0.02368    0.07606  0  0  8
 12    0.02512    0.07623    0.02592  0  0  8
 16    0.07290    0.02471    0.02442  0  0  8
  4    0.07469    0.07566    0.07441  0  0  9
  8    0.02523    0.02381    0.07662  0  0  9
 12    0.02644    0.07671    0.02519  0  0  9
 16    0.07626    0.02557    0.02423  0  0  9
  4    0.07553    0.07511    0.07487  0  1  0
  8    0.02293    0.02474    0.07469  0  1  0
 12    0.02491    0.07485    0.02637  0  1  0
 16    0.07541    0.02606    0.02397  0  1  0
  4    0.07600    0.07368    0.07704  0  1  1
  8    0.02532    0.02515    0.07571  0  1  1
