Time       moves_acc moves_gen     F(Q)_1     Bragg   X_ray_(R)1
h/m/s/.th    WEIGHT PARAMETERS   0.100E+01  0.100E+01  0.100E+01
112211.602         653        1259  0.904E-02  0.541E-02  0.889E-02
113211.792        1359        2750  0.905E-02  0.539E-02  0.893E-02
114211.709        2039        4267  0.905E-02  0.537E-02  0.892E-02
115212.011        2676        5780  0.905E-02  0.536E-02  0.891E-02
120211.596        3338        7319  0.905E-02  0.535E-02  0.890E-02
121211.863        4032        8878  0.904E-02  0.534E-02  0.889E-02
122211.881        4713       10431  0.904E-02  0.533E-02  0.888E-02
123211.608        5388       12023  0.904E-02  0.532E-02  0.887E-02
124211.606        6038       13578  0.904E-02  0.531E-02  0.886E-02
125211.671        6711       15157  0.904E-02  0.530E-02  0.885E-02
130211.881        7369       16726  0.904E-02  0.529E-02  0.883E-02
131211.627        8040       18296  0.904E-02  0.528E-02  0.882E-02
132211.527        8707       19876  0.903E-02  0.527E-02  0.881E-02
133211.567        9373       21442  0.903E-02  0.526E-02  0.879E-02
134211.689       10015       23010  0.903E-02  0.525E-02  0.877E-02
135211.531       10667       24598  0.903E-02  0.525E-02  0.875E-02
140211.871       11362       26187  0.903E-02  0.524E-02  0.875E-02
141211.653       11976       27731  0.902E-02  0.523E-02  0.874E-02
142211.782       12593       29262  0.902E-02  0.522E-02  0.872E-02
143211.794       13245       30846  0.902E-02  0.521E-02  0.871E-02
144211.861       13847       32318  0.902E-02  0.520E-02  0.870E-02
145211.782       14468       33880  0.902E-02  0.519E-02  0.868E-02
150211.857       15086       35413  0.902E-02  0.519E-02  0.867E-02
151211.779       15722       36961  0.902E-02  0.518E-02  0.866E-02
152211.885       16413       38551  0.901E-02  0.517E-02  0.864E-02
153211.729       17039       40125  0.901E-02  0.516E-02  0.863E-02
154211.748       17685       41688  0.901E-02  0.515E-02  0.860E-02
155211.845       18348       43264  0.901E-02  0.515E-02  0.858E-02
160211.834       18992       44836  0.901E-02  0.514E-02  0.857E-02
161211.647       19627       46383  0.901E-02  0.513E-02  0.856E-02
162211.588       20316       47946  0.901E-02  0.512E-02  0.855E-02
