       Q,      F(Q)_RMC,  F(Q)_Expt
      0.5000000 ,      -1.0350516 ,      -0.6322244
      0.5100000 ,      -1.0418928 ,      -0.7986254
      0.5200000 ,      -1.0387564 ,      -0.9271627
      0.5300000 ,      -1.0268952 ,      -1.0105271
      0.5400000 ,      -1.0098227 ,      -1.0498003
      0.5500000 ,      -0.9922984 ,      -1.0532140
      0.5600000 ,      -0.9790162 ,      -1.0335396
      0.5700000 ,      -0.9733560 ,      -1.0048125
      0.5800000 ,      -0.9765281 ,      -0.9791972
      0.5900000 ,      -0.9873277 ,      -0.9646907
      0.6000000 ,      -1.0025484 ,      -0.9641061
      0.6100000 ,      -1.0179211 ,      -0.9754281
      0.6200000 ,      -1.0293113 ,      -0.9932920
      0.6300000 ,      -1.0338393 ,      -1.0110859
      0.6400000 ,      -1.0306222 ,      -1.0230708
      0.6500000 ,      -1.0209425 ,      -1.0259658
      0.6600000 ,      -1.0078148 ,      -1.0196417
      0.6700000 ,      -0.9950856 ,      -1.0068319
      0.6800000 ,      -0.9863294 ,      -0.9920427
      0.6900000 ,      -0.9838546 ,      -0.9800453
      0.7000000 ,      -0.9880975 ,      -0.9744166
      0.7100000 ,      -0.9975651 ,      -0.9765438
      0.7200000 ,      -1.0093320 ,      -0.9853504
      0.7300000 ,      -1.0199372 ,      -0.9977743
      0.7400000 ,      -1.0264138 ,      -1.0098127
      0.7500000 ,      -1.0271491 ,      -1.0177935
      0.7600000 ,      -1.0223249 ,      -1.0194822
      0.7700000 ,      -1.0138114 ,      -1.0146988
      0.7800000 ,      -1.0045503 ,      -1.0052775
      0.7900000 ,      -0.9976157 ,      -0.9944040
      0.8000000 ,      -0.9952384 ,      -0.9855497
      0.8100000 ,      -0.9980981 ,      -0.9813453
      0.8200000 ,      -1.0051070 ,      -0.9827462
      0.8300000 ,      -1.0137678 ,      -0.9887524
      0.8400000 ,      -1.0210084 ,      -0.9967743
      0.8500000 ,      -1.0242413 ,      -1.0035319
      0.8600000 ,      -1.0223063 ,      -1.0062023
      0.8700000 ,      -1.0159630 ,      -1.0034389
      0.8800000 ,      -1.0077133 ,      -0.9959070
      0.8900000 ,      -1.0009166 ,      -0.9861086
      0.9000000 ,      -0.9983805 ,      -0.9774777
      0.9100000 ,      -1.0007898 ,      -0.9729579
      0.9200000 ,      -1.0054412 ,      -0.9734561
      0.9300000 ,      -1.0057262 ,      -0.9766540
      0.9400000 ,      -0.9916598 ,      -0.9766107
      0.9500000 ,      -0.9515105 ,      -0.9644178
      0.9600000 ,      -0.8742986 ,      -0.9299016
      0.9700000 ,      -0.7526797 ,      -0.8640797
      0.9800000 ,      -0.5855650 ,      -0.7618389
      0.9900000 ,      -0.3798215 ,      -0.6241785
      1.0000000 ,      -0.1505360 ,      -0.4593981
      1.0100000 ,       0.0803922 ,      -0.2828035
      1.0200000 ,       0.2872097 ,      -0.1148187
      1.0300000 ,       0.4443446 ,       0.0222393
      1.0400000 ,       0.5307778 ,       0.1081370
      1.0500000 ,       0.5338915 ,       0.1286489
      1.0600000 ,       0.4520002 ,       0.0785901
      1.0700000 ,       0.2950156 ,      -0.0367359
      1.0800000 ,       0.0830559 ,      -0.2020496
      1.0900000 ,      -0.1567683 ,      -0.3945371
      1.1000000 ,      -0.3947949 ,      -0.5877716
      1.1100000 ,      -0.6036307 ,      -0.7563459
      1.1200000 ,      -0.7624357 ,      -0.8802842
      1.1300000 ,      -0.8598793 ,      -0.9483466
      1.1400000 ,      -0.8952579 ,      -0.9595784
      1.1500000 ,      -0.8776506 ,      -0.9228309
      1.1600000 ,      -0.8233821 ,      -0.8544164
      1.1700000 ,      -0.7523904 ,      -0.7744482
      1.1800000 ,      -0.6842778 ,      -0.7026757
      1.1900000 ,      -0.6348406 ,      -0.6547040
      1.2000000 ,      -0.6137132 ,      -0.6393590
      1.2100000 ,      -0.6234864 ,      -0.6576778
      1.2200000 ,      -0.6603198 ,      -0.7036193
      1.2300000 ,      -0.7157550 ,      -0.7662094
      1.2400000 ,      -0.7792094 ,      -0.8325313
      1.2500000 ,      -0.8405364 ,      -0.8908244
      1.2600000 ,      -0.8920903 ,      -0.9329809
      1.2700000 ,      -0.9299052 ,      -0.9559200
      1.2800000 ,      -0.9538426 ,      -0.9616218
      1.2900000 ,      -0.9668173 ,      -0.9559328
      1.3000000 ,      -0.9734131 ,      -0.9465469
      1.3100000 ,      -0.9783122 ,      -0.9407298
      1.3200000 ,      -0.9849574 ,      -0.9433836
      1.3300000 ,      -0.9947608 ,      -0.9559157
      1.3400000 ,      -1.0070021 ,      -0.9761454
      1.3500000 ,      -1.0193629 ,      -0.9992004
      1.3600000 ,      -1.0288854 ,      -1.0191020
      1.3700000 ,      -1.0330455 ,      -1.0305770
      1.3800000 ,      -1.0306280 ,      -1.0305957
      1.3900000 ,      -1.0221649 ,      -1.0192325
      1.4000000 ,      -1.0098365 ,      -0.9996403
      1.4100000 ,      -0.9968826 ,      -0.9771728
      1.4200000 ,      -0.9867103 ,      -0.9579137
      1.4300000 ,      -0.9819542 ,      -0.9470241
      1.4400000 ,      -0.9837543 ,      -0.9473549
      1.4500000 ,      -0.9914459 ,      -0.9586928
      1.4600000 ,      -1.0027440 ,      -0.9778342
      1.4700000 ,      -1.0143650 ,      -0.9994566
      1.4800000 ,      -1.0229174 ,      -1.0175509
      1.4900000 ,      -1.0258216 ,      -1.0270307
      1.5000000 ,      -1.0220123 ,      -1.0250938
      1.5100000 ,      -1.0122411 ,      -1.0119780
      1.5200000 ,      -0.9988941 ,      -0.9909165
      1.5300000 ,      -0.9853715 ,      -0.9673016
      1.5400000 ,      -0.9751807 ,      -0.9472721
      1.5500000 ,      -0.9709704 ,      -0.9360847
      1.5600000 ,      -0.9737449 ,      -0.9366820
      1.5700000 ,      -0.9824539 ,      -0.9488168
      1.5800000 ,      -0.9940642 ,      -0.9689556
      1.5900000 ,      -1.0041028 ,      -0.9909844
      1.6000000 ,      -1.0075553 ,      -1.0075512
      1.6100000 ,      -0.9999234 ,      -1.0117221
      1.6200000 ,      -0.9782123 ,      -0.9985663
      1.6300000 ,      -0.9416422 ,      -0.9663052
      1.6400000 ,      -0.8919399 ,      -0.9167777
      1.6500000 ,      -0.8331601 ,      -0.8551379
      1.6600000 ,      -0.7710846 ,      -0.7888778
      1.6700000 ,      -0.7123239 ,      -0.7264160
      1.6800000 ,      -0.6632993 ,      -0.6755717
      1.6900000 ,      -0.6292881 ,      -0.6422473
      1.7000000 ,      -0.6136900 ,      -0.6295656
      1.7100000 ,      -0.6176176 ,      -0.6375912
      1.7200000 ,      -0.6398501 ,      -0.6636220
      1.7300000 ,      -0.6771247 ,      -0.7029223
      1.7400000 ,      -0.7246953 ,      -0.7496951
      1.7500000 ,      -0.7770582 ,      -0.7980762
      1.7600000 ,      -0.8287327 ,      -0.8429714
      1.7700000 ,      -0.8749951 ,      -0.8806277
      1.7800000 ,      -0.9124719 ,      -0.9089098
      1.7900000 ,      -0.9395218 ,      -0.9273151
      1.8000000 ,      -0.9563502 ,      -0.9367928
