Time       moves_acc moves_gen     F(Q)_1  Curvature  Curvature  Curvature  Curvature  Curvature  Curvature   X_ray_(R)1
h/m/s/.th    WEIGHT PARAMETERS   0.100E+01  0.100E+01  0.100E+01  0.100E+01  0.100E+01  0.100E+01  0.100E+01  0.100E+01
124554.711        1634        1636  0.161E+00  0.000E+00  0.000E+00  0.509E-01  0.000E+00  0.000E+00  0.000E+00  0.110E+01
125554.706        3369        3372  0.159E+00  0.000E+00  0.000E+00  0.870E+00  0.000E+00  0.000E+00  0.000E+00  0.108E+01
130554.863        5099        5103  0.157E+00  0.000E+00  0.000E+00  0.590E+00  0.000E+00  0.000E+00  0.000E+00  0.106E+01
131554.655        6832        6837  0.155E+00  0.000E+00  0.000E+00  0.259E+01  0.000E+00  0.000E+00  0.000E+00  0.105E+01
132554.603        8563        8569  0.153E+00  0.000E+00  0.000E+00  0.293E+01  0.000E+00  0.000E+00  0.000E+00  0.103E+01
133554.544       10299       10306  0.151E+00  0.000E+00  0.000E+00  0.249E+01  0.000E+00  0.000E+00  0.000E+00  0.101E+01
134554.692       12037       12045  0.149E+00  0.000E+00  0.000E+00  0.864E+01  0.000E+00  0.000E+00  0.000E+00  0.995E+00
135554.835       13761       13773  0.148E+00  0.000E+00  0.000E+00  0.136E+01  0.000E+00  0.000E+00  0.000E+00  0.980E+00
140554.793       15489       15503  0.146E+00  0.000E+00  0.000E+00  0.559E+01  0.000E+00  0.000E+00  0.000E+00  0.964E+00
141554.564       17219       17234  0.144E+00  0.000E+00  0.000E+00  0.201E+01  0.000E+00  0.000E+00  0.000E+00  0.949E+00
142554.776       18909       18969  0.142E+00  0.000E+00  0.000E+00  0.213E+01  0.000E+00  0.000E+00  0.000E+00  0.934E+00
143554.672       20594       20708  0.141E+00  0.000E+00  0.000E+00  0.273E+01  0.000E+00  0.000E+00  0.000E+00  0.919E+00
144554.766       22301       22444  0.139E+00  0.000E+00  0.000E+00  0.992E+00  0.000E+00  0.000E+00  0.000E+00  0.905E+00
145554.724       23955       24180  0.138E+00  0.000E+00  0.000E+00  0.102E+01  0.000E+00  0.000E+00  0.000E+00  0.891E+00
150554.544       25544       25915  0.136E+00  0.000E+00  0.000E+00  0.992E+00  0.000E+00  0.000E+00  0.000E+00  0.876E+00
151554.826       27117       27650  0.134E+00  0.000E+00  0.000E+00  0.992E+00  0.000E+00  0.000E+00  0.000E+00  0.861E+00
152554.621       28698       29386  0.133E+00  0.000E+00  0.000E+00  0.992E+00  0.000E+00  0.000E+00  0.000E+00  0.846E+00
153554.817       30251       31117  0.131E+00  0.000E+00  0.000E+00  0.998E+00  0.000E+00  0.000E+00  0.000E+00  0.832E+00
154554.711       31742       32857  0.129E+00  0.000E+00  0.000E+00  0.680E+00  0.000E+00  0.000E+00  0.000E+00  0.819E+00
155554.762       33216       34594  0.128E+00  0.000E+00  0.000E+00  0.686E+00  0.000E+00  0.000E+00  0.000E+00  0.805E+00
160554.701       34737       36337  0.126E+00  0.000E+00  0.000E+00  0.698E+00  0.000E+00  0.000E+00  0.000E+00  0.790E+00
161554.791       36210       38081  0.124E+00  0.000E+00  0.000E+00  0.660E+00  0.000E+00  0.000E+00  0.000E+00  0.776E+00
162554.623       37609       39816  0.123E+00  0.000E+00  0.000E+00  0.660E+00  0.000E+00  0.000E+00  0.000E+00  0.763E+00
163554.605       39007       41551  0.121E+00  0.000E+00  0.000E+00  0.665E+00  0.000E+00  0.000E+00  0.000E+00  0.749E+00
164554.589       40429       43285  0.120E+00  0.000E+00  0.000E+00  0.669E+00  0.000E+00  0.000E+00  0.000E+00  0.735E+00
165554.611       41852       45027  0.118E+00  0.000E+00  0.000E+00  0.662E+00  0.000E+00  0.000E+00  0.000E+00  0.722E+00
170554.660       43282       46764  0.117E+00  0.000E+00  0.000E+00  0.662E+00  0.000E+00  0.000E+00  0.000E+00  0.710E+00
171554.693       44686       48499  0.115E+00  0.000E+00  0.000E+00  0.675E+00  0.000E+00  0.000E+00  0.000E+00  0.697E+00
172554.850       46049       50232  0.114E+00  0.000E+00  0.000E+00  0.675E+00  0.000E+00  0.000E+00  0.000E+00  0.684E+00
173554.591       47415       51966  0.112E+00  0.000E+00  0.000E+00  0.666E+00  0.000E+00  0.000E+00  0.000E+00  0.672E+00
174554.695       48778       53703  0.111E+00  0.000E+00  0.000E+00  0.669E+00  0.000E+00  0.000E+00  0.000E+00  0.659E+00
175554.634       50165       55438  0.110E+00  0.000E+00  0.000E+00  0.676E+00  0.000E+00  0.226E-06  0.000E+00  0.646E+00
180554.709       51524       57170  0.108E+00  0.000E+00  0.000E+00  0.672E+00  0.000E+00  0.904E-06  0.000E+00  0.634E+00
181554.607       52872       58906  0.107E+00  0.000E+00  0.000E+00  0.668E+00  0.000E+00  0.904E-06  0.000E+00  0.622E+00
182554.772       54228       60650  0.105E+00  0.000E+00  0.000E+00  0.672E+00  0.000E+00  0.361E-05  0.000E+00  0.610E+00
183554.655       55566       62384  0.104E+00  0.000E+00  0.000E+00  0.674E+00  0.000E+00  0.211E-04  0.000E+00  0.599E+00
184554.628       56894       64120  0.103E+00  0.000E+00  0.000E+00  0.670E+00  0.000E+00  0.211E-04  0.000E+00  0.587E+00
185554.806       58214       65856  0.101E+00  0.000E+00  0.000E+00  0.697E+00  0.000E+00  0.113E-03  0.000E+00  0.576E+00
190554.824       59483       67588  0.999E-01  0.000E+00  0.000E+00  0.676E+00  0.000E+00  0.170E-04  0.000E+00  0.565E+00
191554.533       60754       69320  0.986E-01  0.000E+00  0.000E+00  0.660E+00  0.000E+00  0.113E-03  0.000E+00  0.554E+00
192554.671       62027       71054  0.971E-01  0.000E+00  0.000E+00  0.661E+00  0.000E+00  0.113E-03  0.000E+00  0.542E+00
193554.649       63294       72787  0.958E-01  0.000E+00  0.000E+00  0.679E+00  0.000E+00  0.349E-01  0.000E+00  0.531E+00
194554.680       64546       74519  0.946E-01  0.000E+00  0.000E+00  0.688E+00  0.000E+00  0.350E-01  0.000E+00  0.521E+00
195554.695       65842       76254  0.933E-01  0.000E+00  0.000E+00  0.669E+00  0.000E+00  0.333E-01  0.000E+00  0.511E+00
200554.817       67138       77992  0.922E-01  0.000E+00  0.000E+00  0.680E+00  0.000E+00  0.524E-01  0.000E+00  0.501E+00
201554.781       68413       79725  0.909E-01  0.000E+00  0.000E+00  0.685E+00  0.000E+00  0.728E-02  0.000E+00  0.491E+00
202554.629       69658       81459  0.896E-01  0.000E+00  0.000E+00  0.679E+00  0.000E+00  0.728E-02  0.000E+00  0.481E+00
203554.589       70901       83192  0.884E-01  0.000E+00  0.000E+00  0.679E+00  0.000E+00  0.728E-02  0.000E+00  0.471E+00
204554.822       72119       84927  0.872E-01  0.000E+00  0.000E+00  0.682E+00  0.000E+00  0.732E-02  0.000E+00  0.461E+00
205554.834       73402       86659  0.859E-01  0.000E+00  0.000E+00  0.697E+00  0.000E+00  0.727E-02  0.000E+00  0.451E+00
210554.829       74615       88392  0.849E-01  0.000E+00  0.000E+00  0.685E+00  0.000E+00  0.721E-02  0.000E+00  0.443E+00
211554.882       75824       90130  0.837E-01  0.000E+00  0.000E+00  0.693E+00  0.000E+00  0.714E-02  0.000E+00  0.434E+00
212554.567       77020       91870  0.826E-01  0.000E+00  0.000E+00  0.688E+00  0.000E+00  0.714E-02  0.000E+00  0.425E+00
213554.801       78255       93610  0.814E-01  0.000E+00  0.000E+00  0.703E+00  0.000E+00  0.309E-02  0.000E+00  0.416E+00
214554.885       79456       95348  0.803E-01  0.000E+00  0.000E+00  0.695E+00  0.000E+00  0.316E-02  0.000E+00  0.407E+00
215554.694       80641       97078  0.792E-01  0.000E+00  0.000E+00  0.693E+00  0.000E+00  0.315E-02  0.000E+00  0.398E+00
220554.846       81820       98811  0.781E-01  0.000E+00  0.000E+00  0.697E+00  0.000E+00  0.227E-01  0.000E+00  0.390E+00
221554.581       82987      100545  0.770E-01  0.000E+00  0.000E+00  0.689E+00  0.000E+00  0.226E-01  0.000E+00  0.381E+00
222554.822       84151      102282  0.759E-01  0.000E+00  0.000E+00  0.704E+00  0.000E+00  0.225E-01  0.000E+00  0.372E+00
223554.745       85287      104017  0.748E-01  0.000E+00  0.000E+00  0.690E+00  0.000E+00  0.909E-02  0.000E+00  0.364E+00
224554.656       86446      105759  0.737E-01  0.000E+00  0.000E+00  0.693E+00  0.000E+00  0.897E-02  0.000E+00  0.356E+00
225554.651       87578      107494  0.728E-01  0.000E+00  0.000E+00  0.690E+00  0.000E+00  0.483E-02  0.000E+00  0.349E+00
230554.675       88748      109228  0.717E-01  0.000E+00  0.000E+00  0.695E+00  0.000E+00  0.483E-02  0.000E+00  0.341E+00
231554.758       89880      110967  0.708E-01  0.000E+00  0.000E+00  0.694E+00  0.000E+00  0.481E-02  0.000E+00  0.333E+00
232554.736       91037      112705  0.698E-01  0.000E+00  0.000E+00  0.696E+00  0.000E+00  0.498E-02  0.000E+00  0.326E+00
233554.607       92171      114441  0.688E-01  0.000E+00  0.000E+00  0.695E+00  0.000E+00  0.495E-02  0.000E+00  0.319E+00
234554.710       93347      116178  0.679E-01  0.000E+00  0.000E+00  0.694E+00  0.000E+00  0.720E-02  0.000E+00  0.311E+00
235554.735       94493      117914  0.669E-01  0.000E+00  0.000E+00  0.711E+00  0.000E+00  0.612E-02  0.000E+00  0.304E+00
000554.874       95627      119653  0.659E-01  0.000E+00  0.000E+00  0.698E+00  0.000E+00  0.531E-02  0.000E+00  0.297E+00
001554.691       96757      121386  0.650E-01  0.000E+00  0.000E+00  0.698E+00  0.000E+00  0.503E-02  0.000E+00  0.290E+00
002554.759       97885      123123  0.641E-01  0.000E+00  0.000E+00  0.699E+00  0.000E+00  0.481E-02  0.000E+00  0.284E+00
003554.836       98975      124856  0.632E-01  0.000E+00  0.000E+00  0.701E+00  0.000E+00  0.463E-02  0.000E+00  0.277E+00
004554.675      100155      126588  0.622E-01  0.000E+00  0.000E+00  0.761E+00  0.000E+00  0.546E-02  0.000E+00  0.270E+00
005554.584      101274      128324  0.612E-01  0.000E+00  0.000E+00  0.743E+00  0.000E+00  0.489E-02  0.000E+00  0.263E+00
010554.719      102361      130061  0.603E-01  0.000E+00  0.000E+00  0.743E+00  0.000E+00  0.458E-02  0.000E+00  0.257E+00
011554.808      103487      131797  0.594E-01  0.000E+00  0.000E+00  0.743E+00  0.000E+00  0.472E-02  0.000E+00  0.251E+00
012554.838      104558      133532  0.585E-01  0.000E+00  0.000E+00  0.744E+00  0.000E+00  0.458E-02  0.000E+00  0.244E+00
013554.611      105684      135268  0.575E-01  0.000E+00  0.000E+00  0.739E+00  0.000E+00  0.540E-02  0.000E+00  0.238E+00
014554.833      106772      137005  0.566E-01  0.000E+00  0.000E+00  0.737E+00  0.000E+00  0.594E-02  0.000E+00  0.232E+00
015554.593      107886      138739  0.557E-01  0.000E+00  0.000E+00  0.739E+00  0.000E+00  0.467E-02  0.000E+00  0.225E+00
020554.562      108983      140477  0.549E-01  0.000E+00  0.000E+00  0.736E+00  0.000E+00  0.465E-02  0.000E+00  0.220E+00
021554.699      110095      142213  0.541E-01  0.000E+00  0.000E+00  0.740E+00  0.000E+00  0.476E-02  0.000E+00  0.214E+00
022554.609      111192      143952  0.532E-01  0.000E+00  0.000E+00  0.752E+00  0.000E+00  0.470E-02  0.000E+00  0.208E+00
023554.569      112284      145692  0.524E-01  0.000E+00  0.000E+00  0.734E+00  0.000E+00  0.491E-02  0.000E+00  0.203E+00
024554.840      113315      147431  0.516E-01  0.000E+00  0.000E+00  0.738E+00  0.000E+00  0.510E-02  0.000E+00  0.198E+00
025554.549      114403      149165  0.509E-01  0.000E+00  0.000E+00  0.735E+00  0.000E+00  0.535E-02  0.000E+00  0.193E+00
030554.556      115426      150899  0.501E-01  0.000E+00  0.000E+00  0.757E+00  0.000E+00  0.512E-02  0.000E+00  0.188E+00
031554.655      116473      152631  0.494E-01  0.000E+00  0.000E+00  0.735E+00  0.000E+00  0.455E-02  0.000E+00  0.183E+00
032554.653      117530      154367  0.486E-01  0.000E+00  0.000E+00  0.736E+00  0.000E+00  0.475E-02  0.000E+00  0.178E+00
033554.650      118563      156103  0.479E-01  0.000E+00  0.000E+00  0.747E+00  0.000E+00  0.589E-02  0.000E+00  0.173E+00
034554.619      119636      157840  0.472E-01  0.000E+00  0.000E+00  0.733E+00  0.000E+00  0.459E-02  0.000E+00  0.169E+00
035554.812      120710      159582  0.464E-01  0.000E+00  0.000E+00  0.736E+00  0.000E+00  0.443E-02  0.000E+00  0.164E+00
