       Q,      F(Q)_RMC,  F(Q)_Expt
      0.8000000 ,      -1.1212491 ,      -0.5520175
      0.8100000 ,      -1.1464931 ,      -0.7521847
      0.8200000 ,      -1.1727443 ,      -0.9286213
      0.8300000 ,      -1.1917017 ,      -1.0595768
      0.8400000 ,      -1.1966077 ,      -1.1311900
      0.8500000 ,      -1.1844285 ,      -1.1406651
      0.8600000 ,      -1.1571381 ,      -1.0971527
      0.8700000 ,      -1.1216244 ,      -1.0199762
      0.8800000 ,      -1.0880644 ,      -0.9344310
      0.8900000 ,      -1.0670150 ,      -0.8659466
      0.9000000 ,      -1.0658376 ,      -0.8338251
      0.9100000 ,      -1.0853285 ,      -0.8459425
      0.9200000 ,      -1.1174822 ,      -0.8956748
      0.9300000 ,      -1.1451408 ,      -0.9618938
      0.9400000 ,      -1.1439122 ,      -1.0122603
      0.9500000 ,      -1.0862319 ,      -1.0093344
      0.9600000 ,      -0.9469291 ,      -0.9183892
      0.9700000 ,      -0.7092347 ,      -0.7153914
      0.9800000 ,      -0.3699654 ,      -0.3934943
      0.9900000 ,       0.0573241 ,       0.0333815
      1.0000000 ,       0.5420940 ,       0.5307668
      1.0100000 ,       1.0398038 ,       1.0478145
      1.0200000 ,       1.4978043 ,       1.5247852
      1.0300000 ,       1.8632001 ,       1.9025329
      1.0400000 ,       2.0912935 ,       2.1322567
      1.0500000 ,       2.1530518 ,       2.1837016
      1.0600000 ,       2.0401714 ,       2.0502769
      1.0700000 ,       1.7667506 ,       1.7501464
      1.0800000 ,       1.3672164 ,       1.3231174
      1.0900000 ,       0.8908687 ,       0.8239467
      1.1000000 ,       0.3940467 ,       0.3133518
      1.1100000 ,      -0.0686395 ,      -0.1515974
      1.1200000 ,      -0.4524218 ,      -0.5259672
      1.1300000 ,      -0.7284113 ,      -0.7828740
      1.1400000 ,      -0.8865848 ,      -0.9159250
      1.1500000 ,      -0.9353688 ,      -0.9379837
      1.1600000 ,      -0.8981293 ,      -0.8767678
      1.1700000 ,      -0.8074481 ,      -0.7683444
      1.1800000 ,      -0.6984260 ,      -0.6499059
      1.1900000 ,      -0.6023428 ,      -0.5532306
      1.2000000 ,      -0.5418232 ,      -0.4999702
      1.2100000 ,      -0.5282538 ,      -0.4994412
      1.2200000 ,      -0.5616775 ,      -0.5490359
      1.2300000 ,      -0.6328698 ,      -0.6368348
      1.2400000 ,      -0.7268900 ,      -0.7456089
      1.2500000 ,      -0.8271808 ,      -0.8572132
      1.2600000 ,      -0.9192856 ,      -0.9564184
      1.2700000 ,      -0.9934549 ,      -1.0334682
      1.2800000 ,      -1.0457491 ,      -1.0850150
      1.2900000 ,      -1.0776328 ,      -1.1134900
      1.3000000 ,      -1.0943961 ,      -1.1252984
      1.3100000 ,      -1.1029655 ,      -1.1284432
      1.3200000 ,      -1.1097323 ,      -1.1302249
      1.3300000 ,      -1.1189343 ,      -1.1355543
      1.3400000 ,      -1.1319189 ,      -1.1461926
      1.3500000 ,      -1.1473478 ,      -1.1609614
      1.3600000 ,      -1.1621507 ,      -1.1767176
      1.3700000 ,      -1.1728660 ,      -1.1897218
      1.3800000 ,      -1.1769402 ,      -1.1969749
      1.3900000 ,      -1.1736175 ,      -1.1971600
      1.4000000 ,      -1.1642014 ,      -1.1909739
      1.4100000 ,      -1.1516621 ,      -1.1808240
      1.4200000 ,      -1.1397523 ,      -1.1700397
      1.4300000 ,      -1.1319184 ,      -1.1618685
      1.4400000 ,      -1.1303325 ,      -1.1585606
      1.4500000 ,      -1.1353191 ,      -1.1607962
      1.4600000 ,      -1.1453218 ,      -1.1675915
      1.4700000 ,      -1.1574003 ,      -1.1766806
      1.4800000 ,      -1.1680982 ,      -1.1852327
